0.3937354386	0.0931820199	0.0107738888	0.5963519812	0.0125389835	0.0011317262	0.0023116258	
0.3866930604	0.0867125243	0.0211788528	0.5909485221	0.0164620150	0.0025972475	0.0054254280	
0.3783996403	0.0805708393	0.0313694254	0.5831381679	0.0223011840	0.0045753694	0.0096693849	
0.3682780564	0.0747263804	0.0415502414	0.5719640255	0.0307253636	0.0073203109	0.0154479686	
0.3556438386	0.0691512674	0.0520001501	0.5563287735	0.0424971506	0.0111871175	0.0232117623	
0.3397519588	0.0638089180	0.0630725548	0.5350115299	0.0583422184	0.0166568849	0.0333727412	
0.3199774623	0.0586685501	0.0752135739	0.5069680810	0.0786923394	0.0243497100	0.0461435281	
0.2960455716	0.0537094362	0.0889386237	0.4716954231	0.1033125743	0.0350028723	0.0613093935	
0.2683039308	0.0489138812	0.1047707126	0.4296887815	0.1309385151	0.0493837968	0.0780141503	
0.2378541678	0.0442885682	0.1231253296	0.3827060163	0.1591796577	0.0681200325	0.0947275758	
0.2064588368	0.0398513265	0.1441666633	0.3336258233	0.1849478632	0.0914805830	0.1095263138	
0.1760519296	0.0356368124	0.1676919758	0.2855618298	0.2052901983	0.1192003489	0.1206239834	
0.1482798159	0.0316821001	0.1931234002	0.2413229644	0.2182676196	0.1504603773	0.1269185543	
0.1241390482	0.0280200653	0.2196181566	0.2026382238	0.2233652323	0.1840473413	0.1282225400	
0.1039414331	0.0246719327	0.2462391406	0.1701156348	0.2213146538	0.2186339051	0.1251282692	
0.0874897540	0.0216445308	0.2721796334	0.1435219198	0.2135794312	0.2529626191	0.1186652780	
0.0743123591	0.0189325232	0.2967682183	0.1221524328	0.2018386871	0.2860692441	0.1099687517	
0.0638493076	0.0165214576	0.3195542693	0.1051395461	0.1876354814	0.3172846138	0.1000552401	
0.0555641353	0.0143905422	0.3403023481	0.0916381925	0.1722170860	0.3462044597	0.0897198319	
0.0489952266	0.0125159398	0.3589268327	0.0809130371	0.1564947814	0.3726445138	0.0795391053	
0.0437655710	0.0108727952	0.3754589856	0.0723607242	0.1411223263	0.3965646029	0.0698799193	
0.0395785980	0.0094365003	0.3900075853	0.0655046776	0.1264925897	0.4180501401	0.0609572269	
0.0362050757	0.0081837252	0.4027144313	0.0599742010	0.1128384396	0.4372349381	0.0528749973	
0.0334686488	0.0070930314	0.4137611687	0.0554834269	0.1002776474	0.4542847872	0.0456597768	
0.0312340241	0.0061446205	0.4233098328	0.0518134311	0.0888434947	0.4693917632	0.0392896794	
0.0293978527	0.0053208633	0.4315491915	0.0487950593	0.0785181597	0.4827309847	0.0337135121	
0.0278801061	0.0046060109	0.4386240840	0.0462990105	0.0692521259	0.4944928288	0.0288652051	
0.0266185198	0.0039860895	0.4446999431	0.0442229472	0.0609777793	0.5048439503	0.0246714223	
0.0255647134	0.0034487855	0.4499027431	0.0424876660	0.0536167249	0.5139416456	0.0210588928	
